Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,Day_of_Week,Quarter,Holiday_Type,Season,Sales_Lag_1,Sales_Lag_2,Sales_Rolling_Mean_4,Sales_Rolling_Std_4,Base_Price,Season_Price_Factor,Price
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,2,5,4,1,Non-Holiday,Winter,,,1643690.9,,96.44444444444444,1.05,103.78
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,2,6,4,1,Holiday,Winter,1643690.9,,1642824.17,1225.7413209156064,96.44444444444444,1.05,100.57
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,2,7,4,1,Non-Holiday,Winter,1641957.44,1643690.9,1632538.8366666667,17835.791718514614,96.44444444444444,1.05,104.55
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,2,8,4,1,Non-Holiday,Winter,1611968.17,1641957.44,1576836.025,112353.41511397276,96.44444444444444,1.05,108.98
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,3,9,4,1,Non-Holiday,Spring,1409727.59,1611968.17,1554614.9699999997,103135.00254832554,96.44444444444444,1.0,95.32
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,3,10,4,1,Non-Holiday,Spring,1554806.68,1409727.59,1504011.0075,95360.05083899511,96.44444444444444,1.0,95.32
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,2010,3,11,4,1,Non-Holiday,Spring,1439541.59,1554806.68,1469147.9125,62599.4571500743,96.44444444444444,1.0,104.06
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,3,12,4,1,Non-Holiday,Spring,1472515.79,1439541.59,1467823.495,64308.38101632066,96.44444444444444,1.0,100.15
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,4,13,4,2,Non-Holiday,Spring,1404429.92,1472515.79,1477863.895,82871.76229599727,96.44444444444444,1.0,94.18
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,4,14,4,2,Non-Holiday,Spring,1594968.28,1404429.92,1504333.13,83458.04335445474,96.44444444444444,1.0,99.06
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,2010,4,15,4,2,Non-Holiday,Spring,1545418.53,1594968.28,1502718.7525,84336.49103572944,96.44444444444444,1.0,94.21
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,2010,4,16,4,2,Non-Holiday,Spring,1466058.28,1545418.53,1499425.3025,89550.29826614384,96.44444444444444,1.0,94.2
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,17,4,2,Non-Holiday,Spring,1391256.12,1466058.28,1456958.41,66432.18202288529,96.44444444444444,1.0,97.61
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,5,18,4,2,Non-Holiday,Spring,1425100.71,1391256.12,1471592.5575,93391.49007121939,96.44444444444444,1.0,87.22
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,19,4,2,Non-Holiday,Spring,1603955.12,1425100.71,1478640.8625,93897.10021693469,96.44444444444444,1.0,88.13
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,5,20,4,2,Non-Holiday,Spring,1494251.5,1603955.12,1480742.35,91348.94221530126,96.44444444444444,1.0,93.73
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,5,21,4,2,Non-Holiday,Spring,1399662.07,1494251.5,1482484.6600000001,89990.28757758501,96.44444444444444,1.0,91.56
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,6,22,4,2,Non-Holiday,Summer,1432069.95,1399662.07,1485377.0575,95229.32666829095,96.44444444444444,0.95,93.06
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,6,23,4,2,Non-Holiday,Summer,1615524.71,1432069.95,1497454.455,99688.97915495554,96.44444444444444,0.95,87.46
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,6,24,4,2,Non-Holiday,Summer,1542561.09,1615524.71,1523359.9525,76594.02113840077,96.44444444444444,0.95,85.15
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,2010,6,25,4,2,Non-Holiday,Summer,1503284.06,1542561.09,1521020.365,80362.22961956475,96.44444444444444,0.95,98.34
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,7,26,4,3,Non-Holiday,Summer,1422711.6,1503284.06,1490243.7225,49908.15900252272,96.44444444444444,0.95,90.59
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,2010,7,27,4,3,Non-Holiday,Summer,1492418.14,1422711.6,1491121.9949999999,51151.15051575243,96.44444444444444,0.95,91.93
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,2010,7,28,4,3,Non-Holiday,Summer,1546074.18,1492418.14,1477535.71,53982.92331296985,96.44444444444444,0.95,85.1
